category,scope,year,count
M3,경희대,2022,6
M3,경희대,2023,6
M3,경희대,2024,10
M3,경희대,2025,13
M3,전남대,2016,5
M3,전남대,2017,4
M3,전남대,2018,8
M3,전남대,2019,11
M3,전남대,2020,8
M3,전남대,2021,4
M3,전남대,2022,5
M3,전남대,2023,5
M3,전남대,2024,7
M3,전남대,2025,12
M3,인제대,2016,9
M3,인제대,2017,4
M3,인제대,2018,10
M3,인제대,2019,11
M3,인제대,2020,4
M3,인제대,2021,3
M3,인제대,2022,2
M3,인제대,2023,6
M3,인제대,2024,6
M3,인제대,2025,10
M3,경북대,2016,6
M3,경북대,2017,4
M3,경북대,2018,8
M3,경북대,2019,5
M3,경북대,2020,6
M3,경북대,2021,10
M3,경북대,2022,9
M3,경북대,2023,11
M3,경북대,2024,18
M3,경북대,2025,11
M3,부산대,2016,10
M3,부산대,2017,10
M3,부산대,2018,18
M3,부산대,2019,16
M3,부산대,2020,6
M3,부산대,2021,8
M3,부산대,2022,11
M3,부산대,2023,7
M3,부산대,2024,10
M3,부산대,2025,14
M3,한양대,2016,12
M3,한양대,2017,10
M3,한양대,2018,11
M3,한양대,2019,8
M3,한양대,2020,11
M3,한양대,2021,12
M3,한양대,2022,11
M3,한양대,2023,15
M3,한양대,2024,21
M3,한양대,2025,14
M3,순천향대,2016,12
M3,순천향대,2017,8
M3,순천향대,2018,11
M3,순천향대,2019,11
M3,순천향대,2020,6
M3,순천향대,2021,6
M3,순천향대,2022,6
M3,순천향대,2023,11
M3,순천향대,2024,16
M3,순천향대,2025,7
M3,아주대,2016,3
M3,아주대,2017,2
M3,아주대,2018,1
M3,아주대,2019,3
M3,아주대,2020,6
M3,아주대,2021,12
M3,아주대,2022,6
M3,아주대,2023,8
M3,아주대,2024,6
M3,아주대,2025,11
M3,이화여대,2016,8
M3,이화여대,2017,4
M3,이화여대,2018,8
M3,이화여대,2019,10
M3,이화여대,2020,12
M3,이화여대,2021,12
M3,이화여대,2022,6
M3,이화여대,2023,9
M3,이화여대,2024,7
M3,이화여대,2025,10
M3,중앙대,2016,6
M3,중앙대,2017,7
M3,중앙대,2018,7
M3,중앙대,2019,11
M3,중앙대,2020,6
M3,중앙대,2021,5
M3,중앙대,2022,9
M3,중앙대,2023,10
M3,중앙대,2024,11
M3,중앙대,2025,16
M3,충남대,2016,1
M3,충남대,2017,3
M3,충남대,2018,7
M3,충남대,2019,0
M3,충남대,2020,4
M3,충남대,2021,8
M3,충남대,2022,6
M3,충남대,2023,6
M3,충남대,2024,4
M3,충남대,2025,3
M3,가천대,2016,6
M3,가천대,2017,3
M3,가천대,2018,7
M3,가천대,2019,8
M3,가천대,2020,2
M3,가천대,2021,4
M3,가천대,2022,5
M3,가천대,2023,1
M3,가천대,2024,7
M3,가천대,2025,10
M3,한림대,2016,6
M3,한림대,2017,2
M3,한림대,2018,8
M3,한림대,2019,6
M3,한림대,2020,7
M3,한림대,2021,8
M3,한림대,2022,3
M3,한림대,2023,10
M3,한림대,2024,7
M3,한림대,2025,15
M3,건국대,2016,3
M3,건국대,2017,4
M3,건국대,2018,7
M3,건국대,2019,8
M3,건국대,2020,6
M3,건국대,2021,10
M3,건국대,2022,7
M3,건국대,2023,5
M3,건국대,2024,13
M3,건국대,2025,5
M3,인하대,2016,2
M3,인하대,2017,2
M3,인하대,2018,6
M3,인하대,2019,6
M3,인하대,2020,2
M3,인하대,2021,2
M3,인하대,2022,4
M3,인하대,2023,1
M3,인하대,2024,2
M3,인하대,2025,7
M3,전북대,2016,1
M3,전북대,2017,0
M3,전북대,2018,3
M3,전북대,2019,5
M3,전북대,2020,3
M3,전북대,2021,2
M3,전북대,2022,1
M3,전북대,2023,4
M3,전북대,2024,4
M3,전북대,2025,8
M3,KR,2016,160
M3,KR,2017,168
M3,KR,2018,235
M3,KR,2019,197
M3,KR,2020,221
M3,KR,2021,263
M3,KR,2022,222
M3,KR,2023,236
M3,KR,2024,267
M3,KR,2025,325
M3,WORLD,2016,4578
M3,WORLD,2017,4942
M3,WORLD,2018,5720
M3,WORLD,2019,6242
M3,WORLD,2020,7077
M3,WORLD,2021,7694
M3,WORLD,2022,7642
M3,WORLD,2023,7507
M3,WORLD,2024,8309
